time_min,height_fraction,nmp_state,lock_fraction,stress_mpa,modulus_mpa
0.5,0.53278689,0.97852991,0.00034648264,1.5368049e-06,0.020193354
0.5,0.54918033,0.97692206,0.00035908178,1.647958e-06,0.020203996
0.5,0.56557377,0.97520923,0.0003730077,1.7649949e-06,0.020215977
0.5,0.58196721,0.97338591,0.00038842566,1.8880236e-06,0.020229506
0.5,0.59836066,0.97144634,0.00040552648,2.0171449e-06,0.020244828
0.5,0.6147541,0.96938451,0.00042453132,2.1524546e-06,0.020262238
0.5,0.63114754,0.96719411,0.00044569736,2.2940456e-06,0.020282093
0.5,0.64754098,0.96486856,0.0004693249,2.4420126e-06,0.020304819
0.5,0.66393443,0.96240099,0.00049576588,2.5964567e-06,0.020330938
0.5,0.68032787,0.95978417,0.00052543454,2.7574938e-06,0.020361085
0.5,0.69672131,0.95701055,0.0005588205,2.9252639e-06,0.020396041
0.5,0.71311475,0.95407218,0.000596505,3.0999456e-06,0.02043677
0.5,0.7295082,0.95096073,0.00063918138,3.2817744e-06,0.020484471
0.5,0.74590164,0.94766742,0.00068768057,3.4710678e-06,0.020540644
0.5,0.76229508,0.94418299,0.00074300356,3.6682595e-06,0.020607181
0.5,0.77868852,0.94049767,0.00080636254,3.873945e-06,0.020686479
0.5,0.79508197,0.93660111,0.00087923363,4.0889453e-06,0.020781606
0.5,0.81147541,0.93248235,0.00096342485,4.3143935e-06,0.020896517
0.5,0.82786885,0.92812971,0.0010611643,4.5518559e-06,0.021036348
0.5,0.8442623,0.92353076,0.0011752154,4.8035016e-06,0.021207836
0.5,0.86065574,0.9186722,0.0013090287,5.0723432e-06,0.021419892
0.5,0.87704918,0.91353977,0.0014669438,5.3625824e-06,0.021684426
0.5,0.89344262,0.90811814,0.0016544589,5.6801117e-06,0.02201751
0.5,0.90983607,0.90239075,0.0018785966,6.0332521e-06,0.02244108
0.5,0.92622951,0.89633963,0.0021484012,6.4338554e-06,0.022985415
0.5,0.94262295,0.88994527,0.002475625,6.8989737e-06,0.023692827
0.5,0.95901639,0.88318631,0.0028756845,7.4534318e-06,0.024623208
0.5,0.97540984,0.87603934,0.0033690051,8.1338613e-06,0.025862517
0.5,0.99180328,0.8684785,0.0039829389,8.995152e-06,0.027535934
1,0.0081967213,0.98244098,0.00031764957,8.8935533e-07,0.020169728
1,0.024590164,0.98238359,0.00031805483,8.9148507e-07,0.020170053
1,0.040983607,0.98226871,0.00031886757,8.957453e-07,0.020170705
1,0.057377049,0.98209616,0.00032009222,9.0213752e-07,0.02017169
1,0.073770492,0.98186565,0.00032173554,9.1066407e-07,0.020173014
1,0.090163934,0.98157681,0.00032380659,9.2132814e-07,0.020174687
1,0.10655738,0.98122918,0.00032631691,9.341339e-07,0.020176722
