scenario,label_zh,thickness_um,evaporation_coefficient_m_s,final_mean_nmp,top_lock_50_min,middle_lock_50_min,bottom_lock_50_min,peak_stress_mpa,peak_stress_time_min,peak_stress_height_fraction,peak_channel_g_j_m2,peak_channel_risk,peak_channel_risk_time_min,risk_one_crossing_min,mass_balance_relative_error
thin_slow,薄层·温和边界,80.0,6e-08,0.0015372916247305675,10.0,11.5,12.0,0.9977494414519005,58.5,0.9918032786885246,3.3860288034000527,0.8465072008500132,74.5,,4.404571325722362e-15
thick_slow,厚层·温和边界,160.0,6e-08,0.058159562837962094,18.0,24.0,26.0,0.8400521743734103,89.5,0.9918032786885246,3.6323507836650646,0.9080876959162661,118.5,,6.606856988583542e-15
thick_fast,厚层·强蒸发边界,160.0,2e-07,0.02574759336368756,4.0,9.5,11.5,1.089013030561979,36.0,0.9918032786885246,4.866906024440119,1.2167265061100299,78.0,42.5,3.049318610115481e-15
